DU.key1.key1,DD.key1.key2,DU.key1.key2,UD.key1.key2,Predicted_Stress_%
0.3621780831931538,0.2144091460070617,0.4671117368334276,0.4037724259507191,47.0
0.7655000144869414,0.8789368965133959,0.1836963163912251,0.1852620618436457,60.94
0.6123957592679836,0.7827098485602952,0.2752867891211309,0.1325257964926397,36.94
0.5190609389379257,0.3486373774747933,0.319817105976215,0.5744427686266667,49.45
0.2092130483097055,0.3272774770449704,0.3736419905302215,0.5828160165372797,49.65
0.2091961642353418,0.3283831568974037,0.5711055768358081,0.5041986740582306,51.5
0.1406585285177396,0.4129695700716764,0.2198042692950158,0.2523068845866854,51.5
0.7063233020424546,0.5673295021425665,0.4085406630481669,0.1488360570031919,61.44
0.5207805082202462,0.502361513049481,0.4554487413172254,0.4421165132560785,48.9
0.5956508044572318,0.4038603981386293,0.1278702476319986,0.3200762468698006,49.12
