DU.key1.key1,DD.key1.key2,DU.key1.key2,UD.key1.key2
0.3621780831931538,0.21440914600706173,0.46711173683342766,0.40377242595071916
0.7655000144869414,0.8789368965133959,0.1836963163912251,0.18526206184364577
0.6123957592679836,0.7827098485602952,0.2752867891211309,0.13252579649263976
0.5190609389379257,0.3486373774747933,0.31981710597621504,0.5744427686266667
0.20921304830970558,0.32727747704497046,0.3736419905302215,0.5828160165372797
0.20919616423534187,0.3283831568974037,0.5711055768358081,0.5041986740582306
0.14065852851773963,0.4129695700716764,0.21980426929501584,0.2523068845866854
0.7063233020424546,0.5673295021425665,0.40854066304816694,0.14883605700319194
0.5207805082202462,0.502361513049481,0.45544874131722546,0.4421165132560785
0.5956508044572318,0.40386039813862934,0.12787024763199864,0.32007624686980063
